var,na_count,na_ratio,dtype,industry
date,0,0.0,datetime64[ns],餐饮
Y,0,0.0,float64,餐饮
ET,0,0.0,float64,餐饮
date_raw,0,0.0,float64,餐饮
DR007（无风险利率）,0,0.0,float64,餐饮
M2(货币供应量）,0,0.0,float64,餐饮
制造业PMI（制造业价格水平）,0,0.0,float64,餐饮
沪深300指数（市场收益率水平）,0,0.0,float64,餐饮
换手率:沪深300指数（市场波动情况）,0,0.0,float64,餐饮
标准普尔500指数（全球市场价格水平）,0,0.0,float64,餐饮
premium,0,0.0,float64,餐饮
mom_1w,0,0.0,float64,餐饮
OI,0,0.0,float64,餐饮
D_total_norm,0,0.0,float64,餐饮
D_star,0,0.0,float64,餐饮
M1_star,0,0.0,float64,餐饮
M2_star,0,0.0,float64,餐饮
Y_star,0,0.0,float64,餐饮
date,0,0.0,datetime64[ns],动漫
Y,0,0.0,float64,动漫
ET,0,0.0,float64,动漫
date_raw,0,0.0,float64,动漫
DR007（无风险利率）,0,0.0,float64,动漫
M2(货币供应量）,0,0.0,float64,动漫
制造业PMI（制造业价格水平）,0,0.0,float64,动漫
沪深300指数（市场收益率水平）,0,0.0,float64,动漫
换手率:沪深300指数（市场波动情况）,0,0.0,float64,动漫
标准普尔500指数（全球市场价格水平）,0,0.0,float64,动漫
premium,0,0.0,float64,动漫
mom_1w,0,0.0,float64,动漫
OI,0,0.0,float64,动漫
D_total_norm,0,0.0,float64,动漫
D_star,0,0.0,float64,动漫
M1_star,0,0.0,float64,动漫
M2_star,0,0.0,float64,动漫
Y_star,0,0.0,float64,动漫
date,0,0.0,datetime64[ns],家电
Y,0,0.0,float64,家电
ET,0,0.0,float64,家电
date_raw,0,0.0,float64,家电
DR007（无风险利率）,0,0.0,float64,家电
M2(货币供应量）,0,0.0,float64,家电
制造业PMI（制造业价格水平）,0,0.0,float64,家电
沪深300指数（市场收益率水平）,0,0.0,float64,家电
换手率:沪深300指数（市场波动情况）,0,0.0,float64,家电
标准普尔500指数（全球市场价格水平）,0,0.0,float64,家电
premium,0,0.0,float64,家电
mom_1w,0,0.0,float64,家电
OI,0,0.0,float64,家电
D_total_norm,0,0.0,float64,家电
D_star,0,0.0,float64,家电
M1_star,0,0.0,float64,家电
M2_star,0,0.0,float64,家电
Y_star,0,0.0,float64,家电
date,0,0.0,datetime64[ns],旅游
Y,0,0.0,float64,旅游
ET,0,0.0,float64,旅游
date_raw,0,0.0,float64,旅游
DR007（无风险利率）,0,0.0,float64,旅游
M2(货币供应量）,0,0.0,float64,旅游
制造业PMI（制造业价格水平）,0,0.0,float64,旅游
沪深300指数（市场收益率水平）,0,0.0,float64,旅游
换手率:沪深300指数（市场波动情况）,0,0.0,float64,旅游
标准普尔500指数（全球市场价格水平）,0,0.0,float64,旅游
premium,0,0.0,float64,旅游
mom_1w,0,0.0,float64,旅游
OI,0,0.0,float64,旅游
D_total_norm,0,0.0,float64,旅游
D_star,0,0.0,float64,旅游
M1_star,0,0.0,float64,旅游
M2_star,0,0.0,float64,旅游
Y_star,0,0.0,float64,旅游
date,0,0.0,datetime64[ns],汽车
Y,0,0.0,float64,汽车
ET,0,0.0,float64,汽车
date_raw,0,0.0,float64,汽车
DR007（无风险利率）,0,0.0,float64,汽车
M2(货币供应量）,0,0.0,float64,汽车
制造业PMI（制造业价格水平）,0,0.0,float64,汽车
沪深300指数（市场收益率水平）,0,0.0,float64,汽车
换手率:沪深300指数（市场波动情况）,0,0.0,float64,汽车
标准普尔500指数（全球市场价格水平）,0,0.0,float64,汽车
premium,0,0.0,float64,汽车
mom_1w,0,0.0,float64,汽车
OI,0,0.0,float64,汽车
D_total_norm,0,0.0,float64,汽车
D_star,0,0.0,float64,汽车
M1_star,0,0.0,float64,汽车
M2_star,0,0.0,float64,汽车
Y_star,0,0.0,float64,汽车
date,0,0.0,datetime64[ns],文娱
Y,0,0.0,float64,文娱
ET,0,0.0,float64,文娱
date_raw,0,0.0,float64,文娱
DR007（无风险利率）,0,0.0,float64,文娱
M2(货币供应量）,0,0.0,float64,文娱
制造业PMI（制造业价格水平）,0,0.0,float64,文娱
沪深300指数（市场收益率水平）,0,0.0,float64,文娱
换手率:沪深300指数（市场波动情况）,0,0.0,float64,文娱
标准普尔500指数（全球市场价格水平）,0,0.0,float64,文娱
premium,0,0.0,float64,文娱
mom_1w,0,0.0,float64,文娱
OI,0,0.0,float64,文娱
D_total_norm,0,0.0,float64,文娱
D_star,0,0.0,float64,文娱
M1_star,0,0.0,float64,文娱
M2_star,0,0.0,float64,文娱
Y_star,0,0.0,float64,文娱
