lag,corr
0,-0.06383015553334555
1,-0.07317559204209946
2,-0.10526340979830719
3,-0.14222140731717217
4,-0.17486515321716692
5,-0.2044603993274626
6,-0.1340498985294137
7,-0.09338831740347504
8,-0.0889698591641767
9,-0.05239944500424915
10,-0.032381590736202816
11,-0.044637372080355
12,-0.01025384726533536
13,-0.0035534217262509172
14,-0.007771880200131365
15,0.03499392500537591
16,0.055489699689248946
17,-0.009392985342350346
18,-0.06856987779293111
19,-0.012305321886066537
20,0.02106545696739374
