lag,corr
0,-0.07406148169445903
1,-0.10965462167476046
2,-0.19327005746433706
3,-0.21702136409067957
4,-0.12458484431186086
5,-0.12956993933056554
6,-0.12715304974994784
7,0.016368363799570938
8,-0.0801512343315382
9,-0.17004064263151347
10,-0.048266061620341166
11,-0.08395184988406335
12,-0.05335272813636516
13,-0.03847561179201923
14,-0.05436956595183315
15,-0.13568571608018498
16,-0.06243832461375223
17,-0.06806765865216284
18,-0.09701286124094986
19,0.02318949752128848
20,0.016045887361981793
