lag,corr
0,-0.12019845714546028
1,-0.12138766160272034
2,-0.1031337029722086
3,-0.07602229612085798
4,-0.06288900471346937
5,-0.12084017114926701
6,-0.05255970207750332
7,-0.013179202037563233
8,-0.009208823904347263
9,-0.019073332502816332
10,-0.011901272559788132
11,-0.014143056126783522
12,-0.027848940574324726
13,-0.07181605896524103
14,-0.1127112558632416
15,-0.13622193772338567
16,-0.165892832389123
17,-0.1535318297640924
18,-0.17066596841930534
19,-0.12764574743167367
20,-0.0910071766719935
