industry,param,coef
餐饮,const,0.0035958483163470584
餐饮,D_star,0.2036669399733759
餐饮,M1_star,0.4718681302999854
餐饮,M2_star,0.2446441332834688
动漫,const,0.13374232635044395
动漫,D_star,0.17743465899173247
动漫,M1_star,0.32935862920711945
动漫,M2_star,0.37274556797522485
汽车,const,-0.013524216366347819
汽车,D_star,0.04191908924702301
汽车,M1_star,0.5478017332653056
汽车,M2_star,0.3206013027742086
文娱,const,0.12066274619331013
文娱,D_star,0.05633463814405423
文娱,M1_star,0.580456282738978
文娱,M2_star,0.32918250107136904
旅游,const,0.14279750647022948
旅游,D_star,0.17438926599357452
旅游,M1_star,0.2462266838386855
旅游,M2_star,0.5177676126483801
家电,const,0.09340719627401198
家电,D_star,0.3325354352598812
家电,M1_star,0.2685466219618348
家电,M2_star,0.4197312708788768
