industry,model,param,coef,ci_lo,ci_hi
动漫,Basic,const,0.23032728286797646,0.10348227494812287,0.3571722907878301
动漫,Basic,D_star,0.8952073575275479,0.7032602973426154,1.0871544177124803
动漫,WithMed,const,0.13374232635044395,0.039198115948180026,0.22828653675270788
动漫,WithMed,D_star,0.17743465899173247,0.04786662343927281,0.30700269454419216
动漫,WithMed,M1_star,0.32935862920711945,0.1655048729001723,0.4932123855140666
动漫,WithMed,M2_star,0.37274556797522485,0.1999128812792118,0.5455782546712379
动漫,Enhanced,const,0.027134693406417068,-0.10789231127625167,0.16216169808908582
动漫,Enhanced,D_star,0.23664215581497558,0.10527160464575813,0.368012706984193
动漫,Enhanced,M1_star,-0.08483683456260822,-0.23213975825344552,0.062466089128229055
动漫,Enhanced,M2_star,0.46706812683785226,0.3408962457773069,0.5932400078983976
家电,Basic,const,0.3007112197574645,0.15858901142285112,0.44283342809207793
家电,Basic,D_star,1.0338332112462023,0.7479453366423052,1.3197210858500994
家电,WithMed,const,0.09340719627401198,-0.012707528012691066,0.19952192056071502
家电,WithMed,D_star,0.3325354352598812,0.16712781242381036,0.4979430580959521
家电,WithMed,M1_star,0.2685466219618348,0.029428859304932303,0.5076643846187373
家电,WithMed,M2_star,0.4197312708788768,0.227177019285597,0.6122855224721566
家电,Enhanced,const,-0.11272272117927272,-0.2430668590454595,0.01762141668691404
家电,Enhanced,D_star,0.29306049135346307,0.15560019887904453,0.4305207838278816
家电,Enhanced,M1_star,-0.11109230097240691,-0.2662796615021428,0.044095059557328925
家电,Enhanced,M2_star,0.437329284602907,0.29912763121814445,0.5755309379876695
文娱,Basic,const,0.3315250145298321,0.20572200017979503,0.4573280288798691
文娱,Basic,D_star,0.90101340102802,0.6959257154804845,1.1061010865755554
文娱,WithMed,const,0.12066274619331013,0.031904724143931446,0.20942076824268882
文娱,WithMed,D_star,0.05633463814405423,-0.1656630618772621,0.27833233816537056
文娱,WithMed,M1_star,0.580456282738978,0.3474420723127245,0.8134704931652315
文娱,WithMed,M2_star,0.32918250107136904,0.15457493561789482,0.5037900665248433
文娱,Enhanced,const,-0.025127619338940532,-0.16658241197764134,0.11632717329976028
文娱,Enhanced,D_star,0.2076099147852512,0.006957794969043307,0.4082620346014591
文娱,Enhanced,M1_star,0.002340941672487107,-0.24607938948537422,0.25076127283034844
文娱,Enhanced,M2_star,0.38288162493011907,0.2213988041951362,0.544364445665102
旅游,Basic,const,0.3412839745413996,0.2135066938922756,0.46906125519052355
旅游,Basic,D_star,0.8569600462996739,0.5790419461883103,1.1348781464110376
旅游,WithMed,const,0.14279750647022948,0.050234112225695196,0.2353609007147638
旅游,WithMed,D_star,0.17438926599357452,0.027404462983207922,0.3213740690039411
旅游,WithMed,M1_star,0.2462266838386855,0.051609093222676095,0.44084427445469493
旅游,WithMed,M2_star,0.5177676126483801,0.2545294080095708,0.7810058172871894
旅游,Enhanced,const,0.07092415716039273,-0.056775625572714525,0.19862393989349997
旅游,Enhanced,D_star,0.17388982117804372,0.0584497934987452,0.28932984885734225
旅游,Enhanced,M1_star,-0.12230070597505058,-0.2708380479361649,0.02623663598606374
旅游,Enhanced,M2_star,0.5995856595161433,0.4126534354950252,0.7865178835372614
汽车,Basic,const,0.2849356034466751,0.10711497354276325,0.462756233350587
汽车,Basic,D_star,1.1625573732670227,0.45154722771330447,1.873567518820741
汽车,WithMed,const,-0.013524216366347819,-0.12903981192888708,0.10199137919619143
汽车,WithMed,D_star,0.04191908924702301,-0.09499049371116414,0.17882867220521015
汽车,WithMed,M1_star,0.5478017332653056,0.2779467081679306,0.8176567583626806
汽车,WithMed,M2_star,0.3206013027742086,0.029382075715687683,0.6118205298327295
汽车,Enhanced,const,0.01350839446764741,-0.13747439057837438,0.16449117951366918
汽车,Enhanced,D_star,0.1414934994297533,0.03026681733849612,0.2527201815210105
汽车,Enhanced,M1_star,-0.02319877481786542,-0.21391114098731648,0.16751359135158564
汽车,Enhanced,M2_star,0.4296453412370266,0.2224509278747863,0.6368397545992669
餐饮,Basic,const,0.20388187275262376,0.03440661804300971,0.3733571274622378
餐饮,Basic,D_star,1.018017148594767,0.7486881722909228,1.2873461248986113
餐饮,WithMed,const,0.0035958483163470584,-0.12270227364172075,0.12989397027441485
餐饮,WithMed,D_star,0.2036669399733759,-0.02398085033756958,0.4313147302843214
餐饮,WithMed,M1_star,0.4718681302999854,0.21412700340304452,0.7296092571969264
餐饮,WithMed,M2_star,0.2446441332834688,0.04045793002879275,0.44883033653814486
餐饮,Enhanced,const,-0.25723680135047433,-0.3715405708738767,-0.14293303182707198
餐饮,Enhanced,D_star,0.03970522115547079,-0.10020962292898627,0.17962006523992785
餐饮,Enhanced,M1_star,0.008435563829379697,-0.15696209587990234,0.17383322353866176
餐饮,Enhanced,M2_star,0.38650443430206427,0.2603425345621145,0.5126663340420141
