author,comments,reply_comments,reply_authors,update
股友15ve310631,砸毛科技,,,11-27
股友15ve310631,这样的板块抄底死了，今天拉不起来,,,11-27
股友15ve310631,被套的今天可以跑了，不然阴跌又开始了,,,11-26
股友T07623w706,纯纯ai应用，兄弟们冲，后面一个多月吃大肉啊,,,11-26
五年生物烂药之神,还在下降渠道，能反转？我不信,,,11-25
五年生物烂药之神,铡刀明天安排,,,11-24
五年生物烂药之神,下跌趋势的大涨,,,11-24
五年生物烂药之神,绝逼诱多反弹。我不信还能一直涨。没有继续割韭菜,,,11-24
股友15ve310631,没戏了,,,11-24
勇敢的尹旋19,0.01%都不给？,,,11-24
勇敢的尹旋19,你居然高开这么多，哇哇哇，今天可能大涨0.01%,,,11-24
股友15ve310631,恭喜大家了，每次抗跌的票未来不可限量,,,11-21
股友15ve310631,今天很多散户进来了欧耶,,,11-21
股友T07623w706,主力大哥，在买入2个亿吧，我给搓脚,,,11-21
股友T07623w706,买入啊，大家齐心协力加油,,,11-21
股友15ve310631,滚下去,,,11-21
股友T07623w706,买入20w，冲,,,11-21
股友15ve310631,预计明年也不降息，哎,,,11-21
股友15ve310631,今天千万不要涨了，一点不合群，,,,11-21
股友15ve310631,今天你把散户吸引进来，下周好收割吗,,,11-21
清风雨溪,听一句劝，还是那句话，趁早跑趁早止损，这个板块没有任何希望，最少还要跌2个月远没,,,11-20
股友15ve310631,大家都不看好了，怎么可能涨，缩量阴跌,,,11-20
勇敢的尹旋19,反弹都这么弱小？,,,11-20
勇敢的尹旋19,绿毛龟哈哈哈,,,11-20
勇敢的尹旋19,资金持续流出，没看到希望，哎,,,11-20
股友15ve310631,昨天要买入基金，7天才能卖，什么感受,,,11-19
股友15ve310631,赢麻了赢麻了，昨天很多散户进去了,,,11-19
清风雨溪,半年线都跌破了，彻底没救，得跌到底部去，今年都不要碰这个板块了,,,11-19
清风雨溪,没救，说了很多次了，头铁的就是不听，这板块看不到任何希望,,,11-19
勇敢的尹旋19,没一个红的...,,,11-19
股友15ve310631,昨天以为你是龙，原来还是一坨,,,11-19
勇敢的尹旋19,这样玩？大盘高开了没看见？,,,11-19
股友15ve310631,文化传媒都上天了，你是跟不上了,,,11-18
清风雨溪,半年线如果被跌破那再头铁的也得赶紧跑,,,11-17
股友15ve310631,下跌趋势只要进去就被套，星期一有反弹,,,11-14
清风雨溪,今天最低收盘又是没的跑，下周继续跌,,,11-14
清风雨溪,听句劝不要来接盘了。这板块趋势完全走坏了，进入漫长回调期，最少还得回调2个月，目,,,11-14
股友15ve310631,今晚的游戏大会不会有大利空吧,,,11-13
妹妹深情,所有板块你应该垫底了吧,,,11-13
妹妹深情,别人涨你跌，别人跌你也跌,,,11-13
清风雨溪,又是冲高跳水的走势，还得继续出货，韭菜继续接盘,,,11-13
清风雨溪,，争取10连绿,,,11-13
妹妹深情,开盘跌，估计8连跌，你要我喊你die？,,,11-13
清风雨溪,连绿7天，连续冲高跳水，明显的出货走势，头铁的还抱有幻想么？远没有止跌，赶紧跑,,,11-12
成为一坏人,这个月要空仓懂吗看戏啊，指数没怎么叠板块大叠阴叠,,,11-11
清风雨溪,这板块没救，最少还阴跌震荡一个月，不要来接盘,,,11-11
股友15ve310631,这样的阴跌就有点可怕了,,,11-11
股友321980u1t8,别涨，继续砸到两千以下,,,11-11
股友15ve310631,美联储以后不降息了，,,,11-10
清风雨溪,嘴硬头铁的呢，现在怎么说，震荡向下还得继续，远没有止跌，这板块真的没必要玩了，科,,,11-07
股友15ve310631,20周线破了，熊市开启,,,11-07
成为一坏人,最近资金炒电搭边的,,,11-07
成为一坏人,游戏是软件啥子，昨天涨硬件,,,11-07
股友321980u1t8,到处都是大涨，你这太费了,,,11-06
五年生物烂药之神,没人看得起你，偏偏你也不争气。,,,11-06
妹妹深情,宝宝加油,,,11-06
股友321980u1t8,这十天跌八天,,,11-06
小赢就是赚,全场最垃圾板块,,,11-06
妹妹深情,要不你一个快板，别人在拉，你在跳,,,11-06
什么时候能回本丶,道心破碎,,,11-05
有幽默感的戴诚3,上涨开启，底部震荡盘整结束,,,11-03
清风雨溪,昨天就是套人，没救，继续下行,,,11-04
有魄力的祝晔,了解动漫的都知道，明天要跌了,,,11-03
善良的魏灿12,才两个点还想吸引人进来？,,,11-03
股友Y31261165I,高开低走套散户,,,11-03
五年生物烂药之神,今天诱多，后面大跌,,,11-03
股友09719V2w10,#强势机会#,,,11-03
股友09719V2w10,$动漫游戏(IS930901)$,,,11-03
剑剑牛,你也是小票，今天为何不怎么涨,,,10-31
妹妹深情,行不行呀宝宝,,,10-31
顺伈意,给我个面子涨回昨天跌的,,,10-31
股友33Lz975351,难得啊大盘在跌你在涨,,,10-31
五年生物烂药之神,短期内能反转，我吃…,,,10-31
踏准节奏2018,感觉还要跌10%,,,10-31
股友58073YA038,今天是业绩发表前的暴力洗盘，明天大涨,,,10-30
清风雨溪,下周继续砸，最少跌到半年线，没救，赶紧跑,,,10-30
ChrisUnitedKing,涨的不说话，跌多了天天就会嘤嘤嘤，都别炒了,,,10-30
清风雨溪,半导体cpo那些回调那是暴涨过一波，回调很正常，游戏别的涨的时候领跌，现在科技回,,,10-30
无畏的欧熠素,下一个创新药,,,10-30
清风雨溪,这个板块赶紧跑，不要报什么希望了，没得救,,,10-30
什么时候能回本丶,洗盘而已，刚刚已抄底，我不信还能跌破平台位。,,,10-30
恭喜亨通地庄周,昆仑万维是红的，这游戏却崩了。,,,10-30
小赢就是赚,这跌起来真要命了,,,10-30
有条理的浪林思8,牛逼,,,10-30
牛_气_冲_天,今天要是大涨吗,,,10-30
股友15ve310631,昨天终于套的一部分人了,,,10-30
老师我太想进部了,终于轮到我了吗？,,,10-29
股友15ve310631,今天应该是绿色收盘,,,10-29
主力没亩,我已经割肉清仓了,,,10-28
基民W10X906716,这个游戏真是受够了，没完没了,,,10-28
无畏的欧熠素,突破不了高点，注定是要跌到位的，估计还有10个点要跌，然后开始再次冲破前高,,,10-28
清风雨溪,半导体cpo大涨的时候完全不跟，现在科技里面天天领跌，还远远没跌到位，不要进来接,,,10-28
今天怎么买,真涨不上去了看来该走了,,,10-28
清风雨溪,听句劝赶紧跑，没得救，科技里面最垃圾的板块,,,10-28
盯住龙头,下一目标19开头,,,10-28
股友7W0N350361,没救，赶紧跑，还得跌,,,10-28
恭喜亨通地庄周,没有昆仑万维，这板块算是废了。,,,10-28
股友261W786g67,头肩顶形成，多看少动,,,10-28
A股大佑利,莫名其妙，业绩也没出来，大环境也没问题，游戏人数创新高。,,,10-28
牛_气_冲_天,今天涨5个点,,,10-28
不在贪心,唯一的利空就是我基金进来了，半导体，稀土都他喵的高位接盘，一割就大涨，一进这游戏,,,10-28
a股老农民,本来看起来已经走强了，今天的大跌是我没想到的，吧,,,10-27
我办事你晃心,这个月收绿线后面你们懂得,,,10-28
小嘟嘟要发财,怎么回事全部涨就你跌啊，,,,10-27
妹妹深情,起来宝宝，别在底线睡觉了,,,10-27
恭喜亨通地庄周,昆仑万维今天还涨了2个多点。,,,10-27
恭喜亨通地庄周,昆仑万维这位带头大哥哪里去了？,,,10-27
暴富暴美财神偏爱顺心如意八方来财,昆仑踢出去了吗？我记得以前占比很高的。,,,10-27
A股大佑利,C'S游戏的饰品崩了，关我们啥事？？？太情绪化了吧,,,10-27
乄无极乛,这几天涨的够不够今天跌，明天爆杀,,,10-23
北凉好个秋,还好我清仓动漫游戏了,,,10-27
妹妹深情,宝宝你行不行呀,,,10-27
股友22X28621d7,别再有幻想了，最起码调整三个月,,,10-27
八方兴隆李妖妖,不涨是吧，陪你，熬到你退市,,,10-27
树上的小葡萄,你说说你个玩意,,,10-27
乄无极乛,大盘跌下去游戏就上来了,,,10-24
清风雨溪,烂泥扶不上墙,,,10-24
股友15ve310631,游戏不是科技吗,,,10-24
股友15ve310631,完全不行啊，,,,10-24
基民6217G0U561,今天能给一个点涨幅就很好了,,,10-24
妹妹深情,加油宝宝,,,10-24
股友375z71c191,大概率开始中期下跌趋势,,,10-16
股友15ve310631,犯天条的板块，比游戏涨的天天都少0.4,,,10-23
股友15ve310631,证券拉起来才能保本,,,10-23
基民6217G0U561,游戏有新发159个的利好，看看今天能不能涨涨,,,10-23
成为一坏人,好好给我狠狠的砸卖了居然给我涨,,,10-22
湘雅是哪里的,散户快跑，等机构横盘货出完就要补缺口去了，争取把主力套山顶，让它们自己咬自己！注,,,10-17
清风雨溪,还得是cpo，半导体，游戏板块太弱了根本没有资金进来,,,10-21
涅槃自在,下跌越来越缩量是唯一能期待反弹的信号，但反弹未必反转,,,10-16
股友61p31652C3,春风又绿江南岸…,,,10-20
股友7W0N350361,没救啊，其他科技跌了反弹都很猛，游戏就是垫底的,,,10-16
盯住龙头,我看至少要跌到20开头,,,10-16
成为一坏人,过几天4000点的时候才会涨,,,10-16
股友375z71c191,60日线跌破收不回，中期下跌趋势开始,,,10-16
三年的等待,要跌赶紧的跌，磨磨唧唧的贼难受,,,10-16
超市捏方便面,无敌了,,,10-16
基民6217G0U561,今天游戏至少两个点涨幅,,,10-16
北凉好个秋,拉完了,,,10-16
江边海燕,玩意。,,,10-16
清风雨溪,没得救，这个板块早点止损,,,10-15
股友Y31261165I,ig要是赢了今天就起飞了,,,10-15
北凉好个秋,拉完了,,,10-15
妹妹深情,你真牛,,,10-14
基民BKuZvG,2000是底,,,10-14
九九羊咩,游戏长期我是坚决看好的，但是前面那几根缩量大线杀伤力太强了，先保住利润出来了，后,,,10-14
五年生物烂药之神,短期趋势已结束，明年看还能不能涨,,,10-14
股友61p31652C3,没啥上升的动力，上不去。,,,10-13
股友80NQ133868,会不会下周一触底反弹？已经30日均线了，如果再跌，就割了,,,10-10
中国股神威武,技术派应该跑光了。都跌破30日线了还不跑光？这个盘洗的相当充分了。周一看修复。,,,10-10
俊毅财富,30日线是牛熊分界点，只要不破就是阶段调整而已。,,,10-09
基民W10X906716,这个板块还能起来不,,,10-10
情绪价值涨停,GAMEOVER,,,10-10
基民6217G0U561,错付了，晕,,,10-09
股友33Lz975351,拜托你拉上去王者过周年你不给面子啊,,,10-09
向左看齐717,月k线平台压力位,,,10-09
我是一颗老韭菜,消费，娱乐类的板块都不行,,,10-09
五年生物烂药之神,凉凉送给兄弟们,,,10-09
股友M287o25569,00后顶上！护盘,,,10-09
股友22X28621d7,快开盘了，假期的利好全集中在硬件，半导体，电池方向，游戏开盘也是横盘，陪跑的货，,,,10-06
俊毅财富,按目前的走势，还应该有下一波行情，去突破2023年高点，起码也得到世纪华通归队为,,,09-30
五年生物烂药之神,国庆后来一波。应该就没了。,,,09-30
master法师,下午再涨点，站上2400就稳了,,,09-30
明白的悯春,赶快雄起来啊,,,09-30
skyship,怎么这么弱啊，这可是不受制裁的呀，快点雄起来啊,,,09-30
腻子玩家,不用看今天怒亏1个多点,,,09-30
牛_气_冲_天,下午等我拉起来必创新高,,,09-30
忘悸海,国庆最后一波火速大涨,,,09-30
