author,comments,reply_comments,reply_authors,update
宁宁梦,大消费板块中的重要子行业是家电板块，AI赋能家电新的情绪消费热点，以旧换新促销活动再次到来。,,,11-28
股友VmUv7y,长虹美菱是上市公司最垃圾的公司坑了多少人。在美菱股票里面陪钱的朋友以后永远不要买,,,11-28
股友VmUv7y,长虹美菱死股是家店板块最垃圾的股票坑了多少人,,,11-28
股友VmUv7y,买了你以后就是天天跌。死股,,,11-21
股友3Pg0537925,这个家电行业的指数绝对不真实，指数创新高了，所有的大票没动小票也没动，就指数在升,,,10-30
chengjie7288,大家关注一下有核能的盾安环能。,,,11-10
惬意的温琦,588200是绝世大牛基，冲鸭弟兄们,,,10-30
股神098,主流标的德昌股份杭州新剑首批T机器人3代灵巧手模组本月底发货德昌股份提供配套电机,,,10-29
股友VmUv7y,长虹家族是最坑人的,,,10-29
股友VmUv7y,美的。格力带头往下压,,,10-29
Qilin1,上涨你不行，下跌第一名,,,10-20
来钱不容易,真你太，今天涨到的是小盘股，但是大盘确实在大盘股拉着……,,,10-16
舒缓的席南,白色家电还要跌。铜铝都在涨价。成本在增加。家电各大企业又在打价格战。跟前几年的光,,,10-07
红旗丽日,倒数第一,,,09-30
容易的杨茜2,主力无意向合作！撤！,,,09-29
股友VmUv7y,央行互换便利和股票回购增持再贷款维护资本市场稳定。看看长虹家族能不能涨点特别是美,,,09-27
玉树临风的猫哥,浪迪还有救吗,,,09-26
舒缓的席南,美联储降息对于白色家电板块也是偏利空的。白电板块出口占比都挺高的,,,09-13
lo200910,很多板块资金全是流出，这才是最可怕的,,,09-09
lo200910,这走势还有人敢追吗？,,,09-10
lo200910,总有贪婪的人不信邪呵呵，出来的快来看风景。我从9月1好开始就让大家出来，不知道有,,,09-16
lo200910,黄金珠宝发力了？,,,09-09
lo200910,呵呵，前两天那些拼命唱多的还好吗？，抄底还早，岸上看风景吧！,,,09-04
笑看江潮生,让回调来的猛烈些,,,09-01
股友VmUv7y,格力让小米给打下来了。你可把我们坑苦了,,,09-01
股友VmUv7y,这两天都是让格力把白电给带下来了。,,,09-01
耐心的白全,这么吗,,,09-01
鲁B888888,全让格力带沟里去了,,,08-29
lo200910,冷门板块谁碰水倒霉，垃圾，周末了，让他们玩吧，小股民们岸上看风景吧。,,,08-29
不开心的韶华,又要来一次4.24,,,08-27
股友95z72m6331,比不过板块,,,08-20
股友QskBzS,在国家新政策的引导下，，，，为了百姓的钱在这家电行业将再次有望爆发。，，，行业有,,,08-18
股友VmUv7y,版块都创新高了。美的空调格力空调白电为什么不涨,,,08-18
股友VmUv7y,美菱这股太烂了。坑了多少股民,,,08-15
编号391015,家电行业国产已经很成熟了，外国品牌基本都打的就剩下渣渣了,,,08-13
淘金绩优,中美关税延期90天，利好家电出口,,,08-12
hrblzljy,5年来，资金月线指标全部是净流出的，没有一个月是哪怕有一点的流入！,,,08-11
hrblzljy,一年半以来，家电行业指数从11600多点涨到了目前的24000多点，已经翻翻了。,,,08-11
股友VmUv7y,谁买长虹家族的股票到美,,,08-06
huangzq2299,截至2025年7月22日，中国家电行业的滚动市盈率平均值为23.06倍。长虹华意,,,08-05
股友VmUv7y,家店版块最拉机的公司。美菱,,,08-04
宁宁梦,国补690亿，下半年优惠券题材,,,08-04
股友VmUv7y,死股就是一个字。卖,,,08-04
万豪4375,天天拉高出货,,,08-03
股友VmUv7y,现在的股票业绩差的涨的比业绩好的还好。像海信今天差点跌停。股市骗局,,,07-31
小伍炒股全靠蒙,家电消费即将进入高爆发周期，拭目以待,,,07-22
股友VmUv7y,这么热的天白电版块为什么这样天天跌。无语,,,07-29
手上有股心上无股,$家电行业(BK0456)$,,,07-28
得鹿梦鱼1994,$家电行业(BK0456)$,,,07-23
你吃肉肉我喝汤,白家电只选了你，好好表现,,,07-22
编号391015,家电行业已经悄悄的破历史高位了，,,,07-18
