comments,time
华锋股份控制权变更落定，股票周一复牌：15元/股转让5.04%股份+表决权委托15.11%，陈运将成新实控人,11-30
002806，控制权变更！12月1日复牌,11-29
发了,11-30
[图片],11-30
华锋股份易主陈运 12月1日复牌,11-30
2.5元,11-30
转发,11-30
股权转让+表决权委托 资本老手陈运入主华锋股份 原实控人6年累计减持比例超20%|速读公告,11-29
,11-30
连续涨停喽,11-29
,11-29
[图片],11-30
出来的应去申购券商类中体基金！,11-30
转发,11-29
富通周一阳包阴，三元一角之下通吃,11-29
点赞,11-30
[图片],11-30
明日复牌！002806，实控人将变更,11-30
尖峰集团收益1.5元，主业水泥、抗癌抗肿瘤药（全国居前）,11-29
实控人拟变更为陈运，华锋股份12月1日起复牌,11-30
弱者恒弱,11-30
明天,11-29
涨停板,11-30
持股,11-28
转发,11-29
9.01元我已满仓,11-29
起亚,11-29
华锋股份：控股股东和实控人拟变更为陈运，股票将于12月1日复牌,11-28
庄股,11-29
垃圾,11-29
涨停,11-29
,11-25
转发,11-29
华锋股份:关于筹划控制权变更进展暨复牌的公告,11-28
亏十万以上的举爪爪,11-29
[微笑],11-29
一群,11-29
转发,11-29
看多。,11-29
转发,11-28
[兴奋],11-29
转发,11-29
做多,11-28
继续,11-29
必到15,11-29
,11-29
转发,11-29
明天深v,11-28
真差,11-28
看长短,11-28
华锋股份:详式权益变动报告书(陈运),11-28
明天大跌,11-29
,11-29
,11-27
转发,11-29
要跌停,11-29
拉尼娜寒冬来临，农产品食品等或中线走强。,11-28
,11-28
转发,11-28
全仓,11-28
转发,11-28
真废,11-28
华锋股份：实控人拟变更为陈运 股票12月1日起复牌,11-28
华锋股份：控股股东和实控人拟均变更为陈运 股票将于12月1日复牌,11-28
华锋股份控制权变更方案出炉 陈运拟购入16%股权并获15.11%委托表决权,11-28
华锋股份：控制权拟发生变更 12月1日起复牌,11-28
华锋股份:简式权益变动报告书(谭帼英),11-28
上图,11-28
今天进杀猪龙问题不大，明天不论涨跌不要进,11-28
垃圾,11-28
来了来了,11-28
ST泰达,11-28
奋斗者,11-28
即将退市,11-30
[赞],11-30
转发,11-29
转发,11-29
白酒科技不错哦哦,11-30
心情不爽,11-28
清了,11-30
全仓,11-30
拉比尼亚,11-30
转发,11-29
转发,11-29
转发,11-29
一天一骂,11-29
,11-29
新华网:新华网股份有限公司关于全资子公司参与投资设立中保投信思创(嘉兴)股权投资合伙企业(有限合伙)进展暨完成基金备案的公告,11-27
新华网：融资净买入575.58万元，融资余额4.86亿元（11-28）,11-29
新华网：公司在健康管理AI应用、智慧政务AI应用、内容安全与媒体AI应用等方面取得了良好成果,11-27
垃圾,11-28
还不能买,11-28
加油,11-28
千际指数-策略研究-全资产-千际指数-20201130,11-28
但愿我是,11-28
,11-28
转发,11-28
持有,11-28
转发,11-28
要涨,11-28
丁真喊你来旅游 丁真  甘孜  理塘   商界快讯,11-28
讨论来讨论去，讨论个屁！明天开盘就知道了！散户就喜欢神经病样！,11-28
一路高歌,11-27
转发,11-28
转发,11-28
客观的说，11元1毛成本的人永远不会解套。,11-27
跑了,11-28
转发,11-28
转发,11-28
垃圾,11-28
坐等两块,11-27
你会厉害的,11-28
涨停涨停,11-28
支持,11-28
我也满仓,11-28
红？,11-28
加油,11-28
空壳谁买,11-28
,11-28
会跌停吗,11-28
转发,11-28
分享转发,11-28
【做T实时跟新】45元以下买，47元以上卖，反复做T，不要贪,11-28
新华网：融资净偿还99.3万元，融资余额4.81亿元（11-27）,11-28
明天低开后面不知道,11-27
转发,11-27
[吃瓜],11-27
践可承,11-27
转发,11-27
转发,11-27
挂300卖，万一顶一把呢？,11-27
转发,11-27
下周会大涨,11-27
废了,11-27
顶了,11-27
转发,11-27
关我球事,11-27
完了,11-27
新股持股应该涨吧,11-27
转发,11-27
短线猎鹰：1129（日）分化将越来越严重，该选谁,11-26
继续加油,11-27
新股上市龙虎榜只要出现拉萨这帮搅SHI棍，这股就废了。,11-27
加油加油,11-27
合并来了？,11-28
垃基,11-30
抄底,11-30
转发,11-29
转发,11-30
我跟,11-27
路过,11-30
无言,11-29
转发,11-20
,11-29
垃圾,11-29
天理难容,11-29
转发,11-29
无语,11-29
转发,11-28
明天还要跌,11-29
国中水务：融资净偿还56.85万元，融资余额1.58亿元（11-28）,11-29
转发,11-28
抄底冲冲冲,11-28
干嘛,11-28
走势怪异,11-28
涨停在即,11-28
好渣,11-28
转发,11-28
天阴？,11-28
转发,11-28
转发,11-28
要飞了，,11-28
涨停涨停,11-28
转发,11-28
基准日,11-28
垃圾,11-28
转发,11-28
转发,11-22
转发,11-28
废物,11-28
[微笑],11-28
持有,11-28
,11-28
我是啥有,11-27
涨停,11-28
转发,11-28
垃圾只有更低,11-28
转发,11-28
服了,11-27
,11-28
,11-27
国中水务：融资净偿还159.19万元，融资余额1.59亿元（11-27）,11-28
牛逼,11-27
转发,11-27
转发,11-27
周一暴涨,11-27
[图片],11-27
垃圾,11-27
牛热乎来,11-27
蔚来在中国上市，会给中国机构做成退市，比亚迪在美国上市可能股价早上800美元,11-27
火箭,11-21
明天起飞,11-27
,11-27
转发,11-27
废了,11-27
同感,11-21
无语,11-27
重大事项未公告？,11-27
转发,11-27
转发,11-27
国中水务:关于使用部分闲置募集资金进行现金管理赎回的公告,11-24
狗熊,11-27
完蛋啦,11-27
转发,11-27
转发,11-27
继续加油,11-27
转发,11-30
再生能源补贴标准出台,11-30
关我球事,11-30
下周看好,11-30
[图片],11-29
请问中泰进入上证50以后，有多少资金会配置,11-29
明天跌停,11-30
赶紧,11-29
转发,11-29
芙蓉,11-28
大家炒股票有亏的吗,11-18
春茶预定中！,11-28
,11-28
明牌了,11-28
上图,11-28
转发,11-28
瞎炒,11-28
,11-28
消息真快,11-28
新股持股应该涨吧,11-28
转发,11-28
今天没套住算你走运明天套住直接吊在山顶上暴晒,11-28
抖音概念局部异动 省广集团一度触及涨停,09-26
加仓,11-28
第二段瀑布要开始了,11-28
不讲股德,11-28
解一下,11-28
转发,11-28
[图片],11-28
垃圾,11-28
转发,11-28
完了,11-28
,11-28
明天涨停,11-28
大盘是一个掏腰包的贼耍圈圈卖套套眼睛紧盯你小钱包,11-28
今天进杀猪龙问题不大，明天不论涨跌不要进,11-28
厉害,11-28
转发,11-28
转发,11-28
红了,11-28
日的,11-28
垃圾,11-28
转发,11-28
转发,11-28
转发,11-28
牛呀,11-28
[大笑],11-28
转发,11-28
要飞了，,11-28
5年内房价不再涨？专家再提土地改革问题，我们该怎么看？,11-28
下周收阳,11-28
其实杨光比我们更惨，投入这么大收益惨淡，不知离场没,11-28
点赞,11-28
明日开始连续涨停到八元！,11-28
快餐,11-28
磨呗,11-28
牛逼,11-28
转发,11-28
转发,11-28
其实有些人是文盲本神不怪他们，中止和终止的区别大家自己揣摩吧，哈哈哈哈,11-28
垃圾,11-28
周一出掉,11-28
转发,11-28
啊不容易,11-28
转发,11-28
先定个小目标，就想看看二位数股价的山推,11-28
其实杨光比我们更惨，投入这么大收益惨淡，不知离场没,11-28
,11-28
转发,11-28
垃圾,11-28
Ok,11-28
,11-28
加油,11-28
[图片],11-04
但愿我是,11-28
转发,11-28
去年得的积分，是不是马上要清零了？,11-30
珍宝岛：融资净买入1473.22万元，融资余额3.14亿元（11-28）,11-29
垃圾,11-29
珍宝岛:黑龙江珍宝岛药业股份有限公司关于控股股东非公开发行可交换公司债券换股价格调整的提示性公告,11-28
酒是害人之物，应该关了,11-28
转发,11-28
转发,11-28
[鼓掌],11-10
发射,11-28
开拉,11-28
转发,11-28
抄底,11-28
转发,11-28
转发,11-28
失血,11-28
珍宝岛：融资净偿还229.41万元，融资余额2.99亿元（11-27）,11-28
赔了,11-27
[图片],11-27
转发,11-27
流感概念股走强 多家上市公司回应“抗流感”产品情况,11-25
明日微涨,11-27
转发,11-27
建议：得润电子汽车配件全，自己做新能源汽车吧,11-27
刚看到利空,11-27
转发,11-27
丁真喊你来旅游 丁真  甘孜  理塘   商界快讯,11-27
你以为你是正妹吗？只是你以为而已,11-27
转发,11-27
