author,comments,reply_comments,reply_authors,update
今天见红了,$汽车整车(BK1029)$,,,11-27
湖北宋宇飞,跳水,,,11-27
江湖股者,奇了个怪了汽车整车，今天居然没有一只涨1%以上的，大盘都在反弹，汽车也就垃圾股涨,,,11-27
股友23d673926q,有没有发现，汽车板块涨的都是那些垃圾车，像众泰、海马之类的，反而优质的车企一直不,,,11-14
今天见红了,3万亿消费，利好新能源汽车。,,,11-27
长城的主力粑粑,丢脸,,,11-25
江湖股者,整车板块垃圾中得天花板！,,,11-25
回本难呀,没有一只股红,,,11-21
友善de莎拉,3.34缺口来了,,,11-21
梦境的游人,往下跌吧，跌10个点，20个点一次性跌到头,,,11-21
拉高出货套人,全军覆没了,,,11-21
未来世界科技巨头,大家看空26年汽车，内卷，购置税。但新技术最容易激发新消费需求。如果辅助驾驶、电,,,11-21
有领导力的唐炯8,0获利,,,11-21
迷人de圣手书生,新款S9,,,11-21
梦境的游人,整车回调，这下完蛋了，天天砸盘。,,,11-19
股林林萌主,汽车板块天天砸,,,11-20
梦境的游人,整车完蛋了砸盘砸的没完没了,,,11-18
回头是岸555,尾盘冲一下,,,11-18
辣椒a股,这个板块要不就关掉解放算了，别丢人现眼了,,,11-18
股友7595h8751K,整个板块最有投资价值的是海马和众泰，真搞笑。,,,11-14
年年钵满de洪七公,整个板块26个票，涨幅过板块的就6个…这板块指数…,,,11-14
江湖股者,海马百亿市值居然带动了1.5万亿流通整车板块！假货,,,11-14
股友518zT18527,又成一哥了，厉害,,,11-14
长城的主力粑粑,永远轮不到这个板块。,,,11-13
江湖股者,汽车板块居然靠3只垃圾，指数一路向上，是不是该改一下了！,,,11-13
长城的主力粑粑,哈哈，销量越差的车，只能靠拉股价挣钱吗,,,11-13
被按着摩擦的韭菜,整车是真的废了，汽车难道不是消费品？,,,11-12
股友89c7y76529,赛力斯和千里王8重庆汽车的哼哈二将,,,11-11
蚂蚁的寂寞生活,板块就一个股票涨，别的都是僵尸，太搞笑,,,11-07
江湖股者,垃圾板块就靠垃圾海马，或者垃圾众泰,,,11-07
慢慢买吧,了吗？权重都绿的啊。,,,11-07
皓月当空日,88888089.2@股友An77787611...,,,11-06
qnnndx,汽车股之前用准倒闭股众泰撑场面，现在用亏损股海马撑场面，其他的都是,,,11-05
梦境的游人,到头儿汽车股到头儿天天往下,,,11-04
红旗遍天下,整个汽车板块都是由小盘股烂公司ST公司来支撑整个板块，上汽、比亚迪、这些龙头天天,,,11-04
股友9q513U6150,比亚迪。以后不要买比亚迪的车子，跟机构联手搞股民。,,,11-03
常言道8,第一名很容易啊！上汽绿贾秋,,,11-03
江湖股者,靠垃圾股带动的板块！,,,11-03
CNS315,啊,,,11-02
未来中药茅台以岭,$汽车整车(BI1029)$$房地产(IS931775)$$中药(BI1040),,,10-30
回本难呀,五粮液都造车了,,,10-30
梦境的游人,汽车股废了，太烂了现在的,,,10-29
被按着摩擦的韭菜,整车板块被资本抛弃了吗？？？废到现在还没起色。,,,10-29
陌生人丫,这个板块废了,,,10-27
股友75610F312h,把众泰的车都发出来，打打气,,,10-24
股友Z0v2561152,r里m垃圾退市,,,10-23
有条理的严晟,整车板块都不咋样，但阿泰今天是真给力啊,,,10-22
普智,$汽车整车(BK1029)$,,,10-21
青峰剑剑剑锋青,汽车板块走的是芯片的老路，亏损涨，优质稳，长久不了,,,10-21
梦境的游人,破整车,,,10-20
梦境的游人,汽车整车有毛病，大盘砸他也往下砸，今天往上涨，他还往下砸,,,10-20
股友3781E3m235,垃圾重汽带崩了板块,,,10-20
车门巴菲特,#股市怎么看#,,,10-19
生财有道的伟喵喵,利空江淮货车！,,,10-18
利興达,整个板块跌沟里,,,10-17
卷不动卷不动了,凑个235，你是要炸金花么去打**么,,,10-17
股友31059e8O69,一上午跌完了几天涨的,,,10-17
股友uPjpiz,汽车行业不振的话，经济就搞不上去,,,10-17
湘财铁头娃,月底业绩为王的时代,,,10-17
三思而后不行,长安汽车一只股带板块跌,,,10-17
美女的不是,新能源汽车补贴没有了，板块只能了,,,10-17
慢牛多调整,$汽车整车(BI1029)$,,,10-17
慢牛多调整,也该轮到汽车板块了，世界智能网联汽车大会今天在北京开幕！,,,10-16
回本难呀,放量上涨还要涨,,,10-16
钱先生a,时间窗口，本周五！,,,10-15
麻豆G,$汽车整车(BK1029)$,,,10-15
麻豆G,$汽车整车(BK1029)$,,,10-15
穿过表象看真实,汽车都亏了一塌糊涂都还能涨，所以讲故事才是最重要的，绝大部分人都愿意被会讲故事的,,,10-15
葛大壮,016371是绝世好基金，冲鸭弟兄们,,,10-15
葛大壮,588200崛起在即，冲鸭弟兄们,,,10-15
甘佑嘉措,汽车板块的楼梯图最标准啊～～～,,,10-14
回本难呀,这是什么鸟板块，无耻之徒,,,10-14
假药无底洞,今年汽车板块就是垃圾板块，超市零售百货板块都比你强……,,,10-13
梦境的游人,整车你不给力呀,,,10-09
大盘是我砸的,十月一节前半小时跳水,,,09-30
股友zq0gqn,这板块全是赛力斯带起来的,,,09-30
陌生人丫,现在汽车股是废了！,,,09-30
江湖股者,一个板块居然靠众泰和海马,,,09-30
股友09888X19p7,捷佳伟创一季度业绩表现强劲，营业总收入同比增长58.95%，净利润增长22.15,,,09-29
追涨的小牛,整个板块天天让一些不入流的做龙头，太弱了,,,09-25
骑着树刚打林平,没补贴咯,,,09-28
养家糊口赚点小钱,美国搞完半导体芯片又搞医药,,,09-26
股林林萌主,整车板块太Lj了，天天拉高套人,,,09-26
语家军,兄弟们，我们昨天发现的今天开始有动作！今天可以高抛的哦！爽吧今天可以分仓去低吸哦,,,09-26
葛大壮,588200暴涨在即，冲鸭弟兄们,,,09-26
湖北宋宇飞,444,,,09-25
股友ufMA3R,没人玩了，只剩主力量化表演！,,,09-24
一弦稽琴格,其他板块都翻倍了，政策利好这么多，怎么也拉到2400,,,09-17
湖北宋宇飞,444,,,09-23
追涨的小牛,板块全烂咋搞嘛,,,09-23
青云子子,新进的散户，在板块挑股的时候，把广汽忽略掉，这个公司靠散户续命,,,09-22
湖北宋宇飞,444,,,09-22
zgsxchzsc,电池涨装电池的汽车跌，就好像是面涨面条跌,,,09-22
追涨的小牛,恕我直言，此板块已被妖邪寄生，弱者恒涨,,,09-22
董秘解答,今年主线没有汽车，没人玩,,,09-16
股友uPjpiz,汽车股太惨了,,,09-19
湖北宋宇飞,444,,,09-19
股友8e5785U368,又是倒数第一,,,09-18
才望兴隆de令狐冲,无耻至极,,,09-18
股友378N9F5107,整个汽车板块，除了江淮,,,09-17
股友8e5785U368,老配方,,,09-17
股友99268u6m71,论下跌主力和资金流出还得看央企长安,,,09-16
八方善贾de黄药师,国家层面的重大利好，怎么跌啦,,,09-16
开始赚票票啰,终于轮到我啦，坐上板块龙头老大的头把交椅,,,09-16
股友1webxjitko7,要成角了,,,09-16
STt9,国外新能源汽车大涨，国内不涨,,,09-16
勇敢坚毅的悦儿6,每次发布会都大跌昨天尾盘卖了，不相信你,,,09-16
华南宝安大道,赛力斯的爸爸叫江淮,,,09-15
麻木的散户Jack,就这种越差的公司账的越好，越亏损的公司涨的越多的市场氛围，还想长牛，做梦都比这个,,,09-15
股友L936032M71,亏损能飞上天？业绩好的股票跌跌不休？,,,09-15
惬意的温琦,159806是绝世好基，冲鸭弟兄,,,09-15
麻木的散户Jack,没有众泰，这个板块指数要跌成狗。一个汽车板块指数，居然靠一个今年只卖了14辆车的,,,09-14
微笑的迪妮莎DJ,这板块靠两个亏损股拉指数,,,09-12
股友uPjpiz,怎么今天指数还涨了？,,,09-12
江湖股者,这板块指数是假的！,,,09-12
股友19Y723297a,涨靠前全部是亏损股，为啥,,,09-12
追涨的小牛,扭曲颠覆逻辑的板块，绩优股都在垫底，破产亏损天天霸占鳌头，撤退,,,09-12
股友09888X19p7,金杯电工2025Q1净利润持平，非经常性收益对冲了信用减值损失的影响。其他收益与,,,09-11
