author,comments,reply_comments,reply_authors,update
木林森初学者,大盘4000消费还在3000打转,,,11-07
股友667617Ip56,破板块，还不如个股成交量。,,,11-07
要记得空仓,呆在这个板块里过熊市,,,11-07
股友51137i196q,大盘涨，消费就砸,,,11-07
股友62837NM890,消费反弹后还是大跌！,,,11-07
打爆量化狗,板块没有带头大哥,,,11-07
莫装x易雷P,昨晚美股科技回调，今天消费老登登场表演,,,11-07
云树开清晓,年底该炒消费了。姓马的都能崛起，你消费崛起不了吗,,,11-05
股友7201L2I007,润普有人恶意做空你，你自己安排回购注销1000万股吧，必须将市值拉到八十亿去！,,,11-06
虎子又来了,100多只股的食品概念还不如一个200亿市值的成交量,,,11-05
舜水南路,食品板块小荷才露尖尖角,,,11-05
利落的爱锦鹏,#复盘记录#,,,11-05
世事难料2012,翻下记录，国庆节期间食品电影都不行，因为大家觉得行同样七八月电力不行一样,,,09-30
渭城风雨,尾盘不翘尾直接吞了昨天涨幅,,,11-04
禅门交易员,没有一个带头大哥冲看来经济差的不行了,,,11-04
股友9mfm7Y,食品饮料板块大涨1.11%，食品饮料ETF收盘0涨幅。,,,11-03
李小歪,炒完传媒和海南就轮到食品,,,11-03
笑嘻嘻的蒋凌旋1,板块轮动,,,11-03
船长趋势交易做T,底部放量，开贴跟踪,,,10-30
吾祝莊傢頭上綠,巧丽哇的！,,,10-31
中股是个老六,北证两天大涨12%，北交所食品股吃P,,,10-31
股农砖家,妙可蓝多公告，第三季度营收为13.9亿元，同比增长14.22%；净利润为4296,,,10-30
不当接盘瞎,血泪,,,10-30
谎言蔓延1980,看来下午食品饮料要绝地反击了！加油,,,10-29
欧而皇之,板块都臭了,,,10-29
九阴会,都4000点了，你还在3300晃悠呢,,,10-28
点石来财的珮柔,大盘涨他崩大盘跌他崩，无敌的板块,,,10-28
谎言蔓延1980,历史底位的食品饮料是不是能发挥一下,,,10-28
为你而喝彩,这么多是天天跌,,,10-28
可以买了,天天跌,,,10-28
谎言蔓延1980,也该食品涨了吧,,,10-28
富有积玉地李白,食品股和白酒可是要完犊子了，大盘上5000点它创新低，各位看着吧。等科技泡沫破裂,,,10-28
股友62837NM890,大级别还是震一震可能要跌的，毛汰，骗子黄，爱美彩都跌到阴沟了，第二次走了中免的道,,,10-27
努力的曹泰成,拉高就跑准没错,,,10-27
低调的老员工,全仓北交所和食品饮料,,,10-27
低调的老员工,这个板块得罪哪个机构了？,,,10-27
谎言蔓延1980,食品饮料不行就都凉快吧！！,,,10-27
股友zq0gqn,看看科技,,,10-25
叙旧音乐馆,全部退市吧，曹，HWNKAJ,,,10-26
王哥私塾,食品板块真是拉垮,,,10-24
Katch,这个板块还要存在吗？,,,10-24
谎言蔓延1980,把食品都砸了,,,10-24
楚楚的韭哥,缩到极致是利好！,,,10-24
眼光不错耐心不够,烂,,,10-24
渭城风雨,太恶心了啊,,,10-24
水上运动,这个板块是化债的，资金都是流出,,,10-24
短线累积试试,耐心等待。,,,10-23
