author,comments,reply_comments,reply_authors,update
股友d2q3097391,这个不是消费？,,,11-27
经纶成金de原随云,这些基金都和风g一样了这样还要做空无敌了,,,11-27
富可多谋的小白,还是得等20000点上方筹码全部出清才行啊,,,11-24
情绪反向利用,大V,,,11-17
梦溪笔谈007,哎，今天的日经225指数，也没这么给跌法！,,,11-17
倾国倾城的漱玉轩,自欺欺人,,,11-12
倾国倾城的漱玉轩,还有那么多人喝酒吗？,,,11-12
梦溪笔谈007,前期科技大涨，你跌；科技跌，你还跌。横批：喋喋不休。,,,11-03
情绪反向利用,联姻梯量阳包阴,,,11-04
情绪反向利用,背离有效底超顶,,,11-01
情绪反向利用,底量超顶量,,,10-31
极致龙空龙,太阴了，阴的没边了,,,10-30
股友8N7z169872,重仓啊天天跌啊虽然跌的少但是快受不了了跑了又怕两头挨打,,,10-29
梦溪笔谈007,一蹶不振了。,,,10-27
z清风,主力一点也不着急，慢慢磨吧,,,10-24
梦溪笔谈007,都无力吐槽了。,,,10-24
梦溪笔谈007,希望今天最后还能拉起来。,,,10-17
秀丽的祝齐珑,加仓？,,,10-11
俊毅财富,60日线压力明显，其中的白酒拖累指数走势，白酒走强才会强势突破60日线。,,,10-10
股友U1025758d5,吊颈线弱反弹直接清仓了,,,09-19
情绪反向利用,Cij拐头,,,09-23
情绪反向利用,二倍阴不破锁倍进,,,09-19
情绪反向利用,五阳尾高缩真阳拨开乌云见天日,,,09-19
股友U1025758d5,月线参考2023年7月明显是下行趋势为啥有人买这种板块可笑,,,09-19
情绪反向利用,串阴,,,09-18
悟道中2025,今天刚进就挨打,,,09-16
菜鸟还是菜,这个板块说实话是人发明的吗,,,09-12
小牛干大事,明天还得跌,,,09-03
大王叫我赖勋杉,额，我还说进消费避险，结果也跌，不是说好的9月3号之前不跌的吗,,,08-28
情绪反向利用,该跌不跌反拉升时间逆转视为强,,,09-01
情绪反向利用,放量没有包阴，看来还要震荡,,,08-29
旷课来大A,消费昨天尾盘拉了一下被砸，今天拉了一下又被砸，主力蠢蠢欲动,,,08-28
情绪反向利用,该跌不跌反拉升，连阳突破易调整,,,08-26
情绪反向利用,该跌不跌突破缺口,,,08-26
情绪反向利用,月堆量,,,08-26
情绪反向利用,N字突破顶分型突破,,,08-26
盆满州鹤地江别鹤,今日涨停分析：休闲食品+老字号+国企。这3条也完全适用，明天开始也来3个涨停？,,,08-19
情绪反向利用,拉升到高看一半,,,08-21
情绪反向利用,目标缺口,,,08-20
情绪反向利用,三军会师,,,08-18
情绪反向利用,频繁撞击60均线，迟早要拿下,,,08-14
股友fZM6Nq,成功的避开了牛市。,,,08-14
基民801161V5l9,躲牛市,,,08-13
基民801161V5l9,重生之我在白酒躲牛市,,,08-13
草根九菜,垃圾食品,,,08-12
股友559v917I76,食品板块有机会起来吗,,,08-09
情绪反向利用,8月的坑九月的宝三强七弱9吸筹,,,08-03
