author,comments,reply_comments,reply_authors,update
情绪反向利用,一创新高,,,11-28
情绪反向利用,一浪过高二浪有效背离,,,11-23
安徽板面,还有人在吗,,,11-19
情绪反向利用,目0.638,,,11-19
情绪反向利用,大V,,,11-17
情绪反向利用,光脚外包阴,,,11-15
情绪反向利用,一路上涨涨18周来个过年红包好吗,,,11-15
情绪反向利用,光脚阴外包,,,11-14
情绪反向利用,阴包阳光脚阴,,,11-14
基金资讯,华安中证申万食品饮料交易型开放式指数证券投资基金更新的招募说明书(2025年第2号),,,11-12
情绪反向利用,底部巨阴突破跟进,,,11-12
Cinderella32,今天赚了你们十五块钱,,,11-10
股友VAGrxL,哇,,,11-10
A股波段大师,回光。。,,,11-10
股友780859iw16,这是白酒etf吧,,,11-07
股友780859iw16,还能跌吗,,,11-07
股友53537KZ098,还有活人吗,,,11-03
情绪反向利用,双阴缩倍底超顶三针探底双阳胜,,,10-31
宝贝哇安,好快，早上没来得及加仓,,,10-31
情绪反向利用,双音缩倍底超顶,,,10-29
极致龙空龙,破位了。,,,10-29
蓝色缺口,碰到册佬了,,,10-28
的啊良,什么垃圾,,,10-28
基金资讯,华安中证申万食品饮料交易型开放式指数证券投资基金2025年第3季度报告,,,10-27
基民QrgiVY,你问么叫食品饮料呢，明明是白酒,,,10-24
基民QrgiVY,不能在这里耗了，耽误挣钱呀,,,10-24
情绪反向利用,四收不创三高,,,10-17
情绪反向利用,外包阴,,,10-17
情绪反向利用,倍阴锁仓结构底可能性大点,,,10-14
情绪反向利用,价胜量弱是诱多还是抛压少，周一见分晓,,,10-12
宝贝哇安,醉了t一下t了铁板,,,10-10
彬哥19882784,也是没谁了，大盘红彤彤的，他能跌两个点～这个ETF的位置，还在2600点吧,,,10-09
裳小默,这个要拿多久......才能回本,,,09-23
彬哥19882784,都几吧说牛市，这个ETF的位置，真的还在2600点，狗都不买！真狗呀,,,10-09
勤劳善良的温睿博,连跌11天的怂货。,,,09-26
基民QrgiVY,利润没有了，你马,,,09-23
勤劳善良的温睿博,这牛市一点没涨，熊还没到，就率先开始跌。基金经理真垃圾。,,,09-23
勤劳善良的温睿博,这垃圾要连跌十年,,,09-22
情绪反向利用,非要见到九吗？够狠了,,,09-19
股友866U36282K,转,,,09-18
勤劳善良的温睿博,大盘风险来了，食品饮料又要开始避险了,,,09-19
裳小默,天天跌，我真服了,,,09-19
逆思w,茅子呀,,,09-18
人生本如戏,其它的都涨了，我也不敢追了，我就拿着这货，我不信大家不吃不喝了,,,09-18
未来的超级大富婆,$食品50(SH516900)$,,,09-18
情绪反向利用,破位了,,,09-18
情绪反向利用,涨刘调四能不能止跌,,,09-18
极致龙空龙,长期拿，拿到过年再看,,,09-18
财运高雅得雨农,天天跌,,,09-18
情绪反向利用,60分钟背驰上升三角形神奇九后外边阴,,,09-17
情绪反向利用,60分钟九后外包阴黎明前黑暗还是下跌中继呢？主力，你的很超出的的想象,,,09-17
勤劳善良的温睿博,等待降息消息,,,09-17
情绪反向利用,三阴梯量,,,09-17
