author,comments,reply_comments,reply_authors,update
股友9p2k939075,没流动性了,,,11-26
n14321080401d3e8,高低切，切入咸水沟,,,11-25
股友65L198503n,无语,,,11-25
四千必扣钱,基金经理，你打酱油了一年了，还亏损2.2，还剩一个月发力呀，别绿毛龟一年，红都不,,,11-24
全国玉林烤,通过,,,11-22
四千必扣钱,经理同学。看看这么多ETF就你今年还亏损的，你好意思见人吗？,,,11-19
股友8060007Zc1,资金只有闲的没事的时候才会过来拉一个点，趁早走吧，没啥意思,,,11-19
基金资讯,天弘基金管理有限公司关于天弘中证食品饮料交易型开放式指数证券投资基金新增流动性服务商的公告,,,11-18
基金资讯,天弘基金管理有限公司关于新增国信证券股份有限公司为旗下部分基金流动性服务商的公告,,,11-18
基民JPC18O,鸡肋,,,11-11
禅定8888,这就鸡肋骨。,,,11-11
四千必扣钱,现在行情没有连续性，今天涨明天就跌,,,11-11
股友7d8003W681,不到0.762不卖,,,11-10
基民03c636907O,兄弟们，我把电池一个亿卖了进这里躲躲,,,10-31
股友65L198503n,等太久了总算吃了一点肉,,,11-10
股友0e95L57868,不戒酒了吗？,,,11-10
加油韭菜,终于轮到消费爆发了吗,,,11-10
股友7d8003W681,坚定持仓,,,11-05
股友v6528986O9,这地方没有人对吗？,,,11-04
广聚财宝日进斗金,还不如白酒涨得好,,,10-28
基金资讯,天弘中证食品饮料交易型开放式指数证券投资基金2025年第3季度报告,,,10-27
小散草莓熊,这个太弱了，赚两个多点走了,,,10-24
四千必扣钱,惨无人睹。,,,10-24
永远要学习,持仓红的多啊，怎么就是不涨啊！,,,10-22
abcdgjkkkm,直接买酒比这强,,,10-22
基民t5B88d,饮食ETF·网格交易,,,10-21
abcdgjkkkm,还不如，买酒,,,10-21
满仓必s,不跟涨啊,,,10-21
泉阳泉老庄嘎了,这种垃圾指数有什么用啊,,,10-16
友好的严琪蕊,各位0.6净值再买吧,,,10-13
友好的严琪蕊,尾盘都砸，看来又要60天后才涨,,,10-13
jiujiuftvxgb,这玩意还能跌，真的醉了,,,10-13
小散草莓熊,最后怎么溢价这么多,,,10-10
股友OilHvh,娘哦,,,10-10
满仓必s,今天会涨,,,10-10
四千必扣钱,连跌四年，还继续跌。没办法那帮子资金在芯片和电池上炒不会允许低位的消费板块上涨的,,,09-29
ETF青枫燃春,套在这里面的不要怕，我来这边开始布局了。,,,09-30
四千必扣钱,我都说这段时间不要买低位，那帮杂毛在高位抱团，开融券来砸低位。等高位的科技有人接,,,09-25
基民26701q391n,少买一点，作为科技股的对冲。目前仓位主要在大盘指数和上涨趋势，但是今天配置了一点,,,09-29
伊风钟,有个叫大佳的博主前几天推荐的，一个星期就跌成这样了,,,09-22
四千必扣钱,昨天我就说了。最好空仓。上涨也不会涨低位票。你去买高位上涨的科技票只能赚小钱，却,,,09-22
小散草莓熊,定投了，最低也破不了557,,,09-27
四千必扣钱,空仓为上。去高位板块一个不小心被套住几年出不来。去低位板块会被主控高位板块的那帮,,,09-21
小散草莓熊,这么便宜的基不多了，买点底仓放着,,,09-25
