author,comments,reply_comments,reply_authors,update
磊磊落落的蓝莓,重大利好，茅台电商跌破1499，明天要抢筹了，再不买就买不到了@,,,11-04
吾股舵手A,从纯技术角度看，白酒板块日线6月16日以来是上涨结构a+A+b，10月14日形成,,,11-05
湖北宋宇飞,444,,,11-04
楼兰王子,白酒指数这几天上涨太多了，看来要回调一下了,,,11-04
股友9KZ1123699,拉线,,,11-03
每天最新消息,水井坊发布2025年三季报第三季度重回盈利轨道时代财经10-3114:20约4,,,11-02
每天最新消息,这个时候一定要卧底酒水。,,,11-02
每天最新消息,五粮液：主动维护市场，稳字当头，股息率优秀研报日期：2025-11-02五粮液0,,,11-02
或许可以7912,$白酒(BI0896)$$古越龙山(SH600059)$$中毅达(SH60061,,,11-02
丢了西瓜捡芝麻,抖音有一个叫老肖的天天骗人接盘白酒，唱反调就拉黑，号称大佬都在加仓超底，明显是加,,,11-01
去云端吃夜宵,多来几个涨停，我好走。,,,10-31
谎言蔓延1980,漂亮！白酒,,,10-31
基民16Pu5c,老乡们赶快抄底白酒。白酒马上死尸级反弹,,,10-31
半静清,烂白酒会死的很惨,,,10-31
韭菜淘金者,白酒yyds，持续三月，搞起,,,10-31
体贴的肖三仟,美股小登调整\老登抗跌,,,10-31
自在de赫拉,从水下直捞二十多点，老登白水终于扬眉吐气！,,,10-30
纯真善良的丁晨光,老登B,,,10-30
磊磊落落的蓝莓,这次业绩充分说明至少未来几年内白酒已经没有投资机会了，20年涨上去大量白酒股翻了,,,10-29
暴哥风云再起,白酒死，科技才能生，大A才有希望,,,10-28
哈哈哈豪哥,老了就是老了，老了就不行了，老登不服老不行啊,,,10-29
一骑绝尘耶,开吃，白酒必起,,,10-28
自在de赫拉,资金宁愿去炒作暴雷股，也不来白水！,,,10-29
东门官人,白酒股里躲牛势,,,10-29
股友98g5161I77,你这个板块也可以倒闭了，有业绩的还天天往下砸，一年到头几乎没涨,,,10-29
韭菜割慢点行不,白酒太水了…,,,10-29
娴雅文静的拂晓1,白酒兆岁兆岁兆兆岁,,,10-29
或许可以7912,点三：加强终止上市过程中的中小投资者保护,,,10-27
暴哥风云再起,科技已经突破了，后面就是一天一个新高，现在才刚开始，这波至少要持续到过年，买老登,,,10-27
股友edMZvv,白酒的几个龙头简直是虫头,,,10-27
暴哥风云再起,周一科技要大涨了！全是利好！白酒要跌停，快逃命吧,,,10-26
体贴的肖三仟,具体而言，挖掘国内需求的消费潜力，科技进步并领先是保障安全的切实手段，深化收入分,,,10-26
或许可以7912,$白酒(BI0896)$,,,10-25
陆肘Z,居然还有人说要低吸这个，不如买红利呀！买这个纯被套死啊。,,,10-24
赚了不走全部拿走,白酒变科技的红血包了！,,,10-24
赚了不走全部拿走,白酒成科技的血袋了！,,,10-24
股友1v36K50715,白酒已经不行了，已经成垃圾板块了，能走赶快走，深套还在后面,,,10-24
落袋vs为安,我在白酒躲牛市！你这个老登，害人不浅啊！,,,10-24
superapes,跌的好，白水退市才能科技强国,,,10-24
若水三千只取一杯,十五五没提白酒,,,10-23
一骑绝尘耶,珍惜当前白酒价格,,,10-24
股友jBhHwR,是不是回来看看这些老登票,,,10-24
白酒涨一下吧,你跳啥水啊啊啊啊，你又没涨,,,10-22
AbCca,白酒真的是狗见了都摇头,,,10-24
国色天香的常豪柯,"公报出来了。按公报提到的顺序，分别是：1，""实体经济""、""制造强国""2，""科技自",,,10-24
知行合一189,白酒作为防御品种此时可以低吸一些,,,10-23
湖北宋宇飞,444,,,10-23
每天最新消息,$白酒(BK0896)$,,,10-23
背道而吃,白酒股至少三到六个月见底。悲观点还有一年,,,10-20
AbCca,白酒真的是没救了亏麻今天全割了,,,10-21
湖北宋宇飞,1144,,,10-21
平凡专找破绽,白酒这个行业是科技的接盘侠，资金已经偷偷流入布局了,,,10-21
或许可以7912,$白酒(BI0896)$,,,10-21
楼兰王子,挺不住了,,,10-20
湖北宋宇飞,1104,,,10-20
湖北宋宇飞,1144,,,10-20
自在de赫拉,科技微调，老登雄起妥妥滴！,,,10-17
湖北宋宇飞,1144,,,10-17
湖北宋宇飞,1422,,,10-16
湖北宋宇飞,1244,,,10-16
股友2H2295602W,酒驾也要入刑了,,,10-15
a医药智驾机器r,跷跷板不要太明显,,,10-15
楼兰王子,昨天涨的有多疯狂，今天跌的就多凄凉,,,10-15
牛散总动员,周一痛饮庆功酒,,,10-12
楼兰王子,一日游行情,,,10-15
