date,date_raw,DR007（无风险利率）,M2(货币供应量）,制造业PMI（制造业价格水平）,沪深300指数（市场收益率水平）,换手率:沪深300指数（市场波动情况）,标准普尔500指数（全球市场价格水平）
2025-05-01,20250501,1.7272,3257838.11,49.5,3808.54,0.49,5604.14
2025-05-02,20250502,1.7272,3257838.11,49.5,3808.54,0.49,5686.67
2025-05-05,20250505,1.7272,3257838.11,49.5,3808.54,0.49,5650.38
2025-05-06,20250506,1.7272,3257838.11,49.5,3808.54,0.49,5606.91
2025-05-07,20250507,1.6802,3257838.11,49.5,3831.63,0.49,5631.28
2025-05-08,20250508,1.6112,3257838.11,49.5,3852.9,0.38,5663.94
2025-05-09,20250509,1.5409,3257838.11,49.5,3846.16,0.37,5659.91
2025-05-12,20250512,1.4967,3257838.11,49.5,3890.61,0.47,5844.19
2025-05-13,20250513,1.5156,3257838.11,49.5,3896.26,0.45,5886.55
2025-05-14,20250514,1.5171,3257838.11,49.5,3943.21,0.53,5892.58
2025-05-15,20250515,1.5245,3257838.11,49.5,3907.2,0.42,5916.93
2025-05-16,20250516,1.6374,3257838.11,49.5,3889.09,0.36,5958.38
2025-05-19,20250519,1.6014,3257838.11,49.5,3877.15,0.3,5963.6
2025-05-20,20250520,1.5856,3257838.11,49.5,3898.17,0.32,5940.46
2025-05-21,20250521,1.5709,3257838.11,49.5,3916.38,0.34,5844.61
2025-05-22,20250522,1.566,3257838.11,49.5,3913.87,0.33,5842.01
2025-05-23,20250523,1.586,3257838.11,49.5,3882.27,0.37,5802.82
2025-05-26,20250526,1.6545,3257838.11,49.5,3860.11,0.34,5802.82
2025-05-27,20250527,1.6186,3257838.11,49.5,3839.4,0.3,5921.54
2025-05-28,20250528,1.6062,3257838.11,49.5,3836.24,0.27,5888.55
2025-05-29,20250529,1.633,3257838.11,49.5,3858.7,0.33,5912.17
2025-05-30,20250530,1.6645,3257838.11,49.5,3840.23,0.34,5911.69
2025-05-31,20250531,1.6645,3257838.11,49.5,3840.23,0.34,5911.69
2025-06-02,20250602,1.6645,3302868.17,49.7,3840.23,0.34,5935.94
2025-06-03,20250603,1.5496,3302868.17,49.7,3852.01,0.4,5970.37
2025-06-04,20250604,1.5549,3302868.17,49.7,3868.74,0.36,5970.81
2025-06-05,20250605,1.5509,3302868.17,49.7,3877.56,0.38,5939.3
2025-06-06,20250606,1.5323,3302868.17,49.7,3873.98,0.34,6000.36
2025-06-09,20250609,1.5126,3302868.17,49.7,3885.25,0.42,6005.88
2025-06-10,20250610,1.5063,3302868.17,49.7,3865.47,0.45,6038.81
2025-06-11,20250611,1.5276,3302868.17,49.7,3894.63,0.44,6022.24
2025-06-12,20250612,1.5386,3302868.17,49.7,3892.2,0.41,6045.26
2025-06-13,20250613,1.502,3302868.17,49.7,3864.18,0.53,5976.97
2025-06-16,20250616,1.5261,3302868.17,49.7,3873.8,0.42,6033.11
2025-06-17,20250617,1.5227,3302868.17,49.7,3870.38,0.37,5982.72
2025-06-18,20250618,1.5267,3302868.17,49.7,3874.97,0.39,5980.87
2025-06-19,20250619,1.5441,3302868.17,49.7,3843.09,0.4,5980.87
2025-06-20,20250620,1.4941,3302868.17,49.7,3846.64,0.36,5967.84
2025-06-23,20250623,1.5075,3302868.17,49.7,3857.9,0.41,6025.17
2025-06-24,20250624,1.6684,3302868.17,49.7,3904.03,0.5,6092.18
2025-06-25,20250625,1.6936,3302868.17,49.7,3960.07,0.57,6092.16
2025-06-26,20250626,1.685,3302868.17,49.7,3946.02,0.5,6141.02
2025-06-27,20250627,1.6968,3302868.17,49.7,3921.76,0.59,6173.07
2025-06-30,20250630,1.9159,3302868.17,49.7,3936.08,0.44,6204.95
2025-07-01,20250701,1.5457,3299429.06,49.3,3942.76,0.39,6198.01
2025-07-02,20250702,1.5053,3299429.06,49.3,3943.68,0.45,6227.42
2025-07-03,20250703,1.4674,3299429.06,49.3,3968.07,0.43,6279.35
2025-07-04,20250704,1.4222,3299429.06,49.3,3982.2,0.48,6279.35
2025-07-07,20250707,1.466,3299429.06,49.3,3965.17,0.4,6229.98
2025-07-08,20250708,1.4635,3299429.06,49.3,3998.45,0.48,6225.52
2025-07-09,20250709,1.4767,3299429.06,49.3,3991.4,0.53,6263.26
2025-07-10,20250710,1.4945,3299429.06,49.3,4010.02,0.64,6280.46
2025-07-11,20250711,1.4718,3299429.06,49.3,4014.81,0.8,6259.75
2025-07-14,20250714,1.536,3299429.06,49.3,4017.67,0.63,6268.56
2025-07-15,20250715,1.5696,3299429.06,49.3,4019.06,0.58,6243.76
2025-07-16,20250716,1.5291,3299429.06,49.3,4007.2,0.46,6263.7
2025-07-17,20250717,1.5223,3299429.06,49.3,4034.49,0.49,6297.36
2025-07-18,20250718,1.5067,3299429.06,49.3,4058.55,0.57,6296.79
2025-07-21,20250721,1.4901,3299429.06,49.3,4085.61,0.68,6305.6
2025-07-22,20250722,1.4741,3299429.06,49.3,4118.96,0.78,6309.62
2025-07-23,20250723,1.4826,3299429.06,49.3,4119.77,0.91,6358.91
2025-07-24,20250724,1.5759,3299429.06,49.3,4149.04,0.97,6363.35
2025-07-25,20250725,1.6523,3299429.06,49.3,4127.16,0.83,6388.64
